Date,weekly runoff
2019-06-08,0.7735378
2019-06-09,0.73185235
2019-06-10,0.7081064
2019-06-11,0.70439893
2019-06-12,0.7183026
2019-06-13,0.74379134
2019-06-14,0.78199756
2019-06-15,0.8311927
2019-06-16,0.88835233
2019-06-17,0.9507463
2019-06-18,1.0180713
2019-06-19,1.085921
2019-06-20,1.1467686
2019-06-21,1.2007657
2019-06-22,1.2457511
2019-06-23,1.2788249
2019-06-24,1.297934
2019-06-25,1.3039838
2019-06-26,1.2942687
2019-06-27,1.2634058
2019-06-28,1.2140675
2019-06-29,1.1469134
2019-06-30,1.062082
2019-07-01,0.9606832
2019-07-02,0.8468144
2019-07-03,0.7208976
2019-07-04,0.58051634
2019-07-05,0.43106043
2019-07-06,0.27557608
2019-07-07,0.116184935
2019-07-08,0.044483047
2019-07-09,0.20131871
2019-07-10,0.35342818
2019-07-11,0.50330955
2019-07-12,0.6462051
2019-07-13,0.780232
2019-07-14,0.9049268
2019-07-15,1.0197608
2019-07-16,1.1221038
2019-07-17,1.2138405
2019-07-18,1.3004593
2019-07-19,1.3803098
2019-07-20,1.4546329
2019-07-21,1.5260048
2019-07-22,1.596752
2019-07-23,1.6668193
2019-07-24,1.740298
2019-07-25,1.8244363
2019-07-26,1.9188309
2019-07-27,2.0254068
2019-07-28,2.146825
2019-07-29,2.2848814
2019-07-30,2.438374
2019-07-31,2.609653
2019-08-01,2.803667
2019-08-02,3.0172095
2019-08-03,3.248971
2019-08-04,3.4980307
2019-08-05,3.7623515
2019-08-06,4.036757
2019-08-07,4.3195896
2019-08-08,4.611876
2019-08-09,4.906688
2019-08-10,5.1993065
2019-08-11,5.48582
2019-08-12,5.7617154
2019-08-13,6.019938
2019-08-14,6.257618
2019-08-15,6.4752865
2019-08-16,6.666272
2019-08-17,6.826873
2019-08-18,6.954948
2019-08-19,7.0484815
2019-08-20,7.103589
2019-08-21,7.121181
2019-08-22,7.106089
2019-08-23,7.056362
2019-08-24,6.973327
2019-08-25,6.860056
2019-08-26,6.719796
2019-08-27,6.5538497
2019-08-28,6.368098
2019-08-29,6.172006
2019-08-30,5.967789
2019-08-31,5.7603693
2019-09-01,5.5557423
2019-09-02,5.359329
2019-09-03,5.1737914
2019-09-04,5.0055184
2019-09-05,4.863606
2019-09-06,4.749032
2019-09-07,4.664633
2019-09-08,4.6135187
2019-09-09,4.5974936
2019-09-10,4.6149554
2019-09-11,4.667484
2019-09-12,4.75894
2019-09-13,4.884768
2019-09-14,5.042106
2019-09-15,5.228342
2019-09-16,5.4396744
2019-09-17,5.669147
2019-09-18,5.9133725
2019-09-19,6.1717463
2019-09-20,6.435858
2019-09-21,6.699693
2019-09-22,6.958264
2019-09-23,7.2062187
2019-09-24,7.4359136
2019-09-25,7.6441393
2019-09-26,7.8313274
2019-09-27,7.9909244
2019-09-28,8.119539
2019-09-29,8.215502
2019-09-30,8.277378
2019-10-01,8.301936
2019-10-02,8.290758
2019-10-03,8.249319
2019-10-04,8.176233
2019-10-05,8.073264
2019-10-06,7.9437566
2019-10-07,7.7910256
2019-10-08,7.6162095
2019-10-09,7.4247713
2019-10-10,7.225494
2019-10-11,7.019644
2019-10-12,6.810936
2019-10-13,6.6039205
2019-10-14,6.402362
2019-10-15,6.2070894
2019-10-16,6.0225306
2019-10-17,5.8557425
2019-10-18,5.705641
2019-10-19,5.573038
2019-10-20,5.45912
2019-10-21,5.3639274
2019-10-22,5.284312
2019-10-23,5.220585
2019-10-24,5.1756587
2019-10-25,5.1443944
2019-10-26,5.123745
2019-10-27,5.111333
2019-10-28,5.104021
2019-10-29,5.095952
2019-10-30,5.085255
2019-10-31,5.07324
2019-11-01,5.0537715
2019-11-02,5.023432
2019-11-03,4.9800878
2019-11-04,4.9214497
2019-11-05,4.843064
2019-11-06,4.7449737
2019-11-07,4.630849
2019-11-08,4.4972816
2019-11-09,4.343864
2019-11-10,4.1716695
2019-11-11,3.981711
2019-11-12,3.7728448
2019-11-13,3.5483348
2019-11-14,3.3148956
2019-11-15,3.0719087
2019-11-16,2.8214247
2019-11-17,2.5665882
2019-11-18,2.3100433
2019-11-19,2.0518072
2019-11-20,1.7958118
2019-11-21,1.5489416
2019-11-22,1.3102592
2019-11-23,1.0810311
2019-11-24,0.86318606
2019-11-25,0.657771
2019-11-26,0.46287912
2019-11-27,0.280259
2019-11-28,0.114421844
2019-11-29,0.038056385
2019-11-30,0.17843457
2019-12-01,0.3072712
2019-12-02,0.42589754
2019-12-03,0.5384215
2019-12-04,0.6450598
2019-12-05,0.742979
2019-12-06,0.8369524
2019-12-07,0.9292301
2019-12-08,1.0209857
2019-12-09,1.1137832
2019-12-10,1.2115871
2019-12-11,1.3141116
2019-12-12,1.4176897
2019-12-13,1.5259684
2019-12-14,1.6398238
2019-12-15,1.7588607
2019-12-16,1.8829362
2019-12-17,2.0142307
2019-12-18,2.1506567
2019-12-19,2.2867894
2019-12-20,2.4246175
2019-12-21,2.5635118
2019-12-22,2.7017698
2019-12-23,2.8381789
2019-12-24,2.9741151
2019-12-25,3.106975
2019-12-26,3.231115
